order_id,order_name,order_status,order_country,delivery_cost,product_code,product_name,product_price,qt,delivery
3492,YP4369-2,Paid,India,22.14,13503-64021,"Idler Sub-Assy, Timing Belt, No.2",33.81,1,Japan Post
3726,YP2992-10,Сanceled,Saudi Arabia,0,40300-32J25,Wheel-Road Al,865.66,5,Japan Post
4118,YP5155-1,Paid,Kenya,33.87,62904-60061,"Duct Sub-Assy, Quarter Ventilator, Lh",74.31,1,FedEx Priority
4121,YP3771-1,Awaiting payment,Singapore,43.22,68373-58010,"Moulding, Slide Rail End, Rh",20.93,1,Japan Post
3254,YP3634-11,Awaiting payment,Saudi Arabia,80.02,8355A049,"Reflector Kit,Rr Lamp,Lh",19.85,1,GULF Express
3986,YP4989-2,Сanceled,Puerto Rico,59.7,48331-42020,"Bumper, Front Spring, Rh",20.85,2,FedEx Priority
3125,YP3920-2,Paid,Malaysia,21.51,33362-0K040,"Hub, Transmission Clutch, No.2",58.85,1,FedEx Priority
3506,YP2797-5,Awaiting payment,United States,28.17,17801-67040,"Element Sub-Assy, Air Cleaner Filter",52.14,1,FedEx Priority
3504,YP4388-1,Paid,United Arab Emirates,9.99,42421-60040,"Case, Rear Axle Bearing, Lh",80.61,1,Domestic
3961,YP2824-6,On hold,Saudi Arabia,171.4,66940-06J00,Cover,38.79,1,FedEx Priority
3842,YP4816-1,Paid,United States,22.54,89742-12060,"Transmitter, Door Control",193.6,1,FedEx Priority
3676,YP4637-1,Paid,Great Britain,28.04,E018-32-620,"Pulley,Vane Pump",80.44,1,Japan Post
3472,YP4341-1,Awaiting payment,Indonesia,52.82,75741-60110,"Moulding, Rear Door, Outside Rh",99.36,1,FedEx Priority
3570,YP4482-1,Сanceled,Canada,22.82,MR510272,"Bellows,Steering Gear",27.55,1,FedEx Priority
4119,YP2992-15,On hold,Saudi Arabia,42.07,92130-52N00,Tank Assy-Liqui,107.93,1,Japan Post
3464,YP2088-5,Сanceled,United States,27.03,76621-19076,"Mudguard Sub-Assy, Front Fender, Rh",28.8,1,FedEx Priority
3990,YP4995-1,Сanceled,United States,22.68,89760-0C010,"Receiver Assy, Tire Pressure Monitor",248.68,1,FedEx Priority
3602,YP4526-1,Paid,Germany,23.9,F189-51-163A,"Gasket(L),Rr.comb.",24.62,1,FedEx Priority
3762,YP2088-10,Paid,United States,22.77,75533-12200,"Moulding, Windshield, Outside Rh",94.85,1,Express Mail Service
3891,YP4073-1,Awaiting payment,Slovakia,23.61,12104-30010,"Cover Sub-Assy, Oil Pan, No.1",59.49,1,FedEx Priority
3797,YP4004-1,Paid,Philippines,69.74,75670-60020,"Moulding, Quarter Belt, Lh",30.24,1,FedEx Priority
